id,makeId,modelName,zipCode
719242528,20015,C-Max Hybrid,50009
753737631,20015,C-Max Hybrid,50009
675439230,20015,C-Max Hybrid,50009
738620869,20015,C-Max Hybrid,50009
754880903,20015,C-Max Hybrid,50009
753626767,20015,C-Max Hybrid,50009
751891946,20015,C-Max Hybrid,50009
753321784,20015,C-Max Hybrid,50009
744853861,20015,C-Max Hybrid,50009
748658050,20015,C-Max Hybrid,50009
751145366,20015,C-Max Hybrid,50009
750691879,20015,C-Max Hybrid,50009
750700942,20015,C-Max Hybrid,50009
755022072,20015,C-Max Hybrid,50009
738858681,20015,C-Max Hybrid,50009
755407266,20015,C-Max Hybrid,50009
755071067,20015,C-Max Hybrid,50009
753177005,20015,C-Max Hybrid,50009
753604878,20015,C-Max Hybrid,50009
748745213,20015,C-Max Hybrid,50009
747391544,20015,C-Max Hybrid,50009
738621014,20015,C-Max Hybrid,50009
752108356,20015,C-Max Hybrid,50009
748090903,20015,C-Max Hybrid,50009
745524832,20015,C-Max Hybrid,50009
744853683,20015,C-Max Hybrid,50009
745663023,20015,C-Max Hybrid,50009
750781692,20015,C-Max Hybrid,50009
753903854,20015,C-Max Hybrid,50009
752526429,20015,C-Max Hybrid,50009
747341481,20015,C-Max Hybrid,50009
747180531,20015,C-Max Hybrid,50009
755031228,20015,C-Max Hybrid,50009
752679770,20015,C-Max Hybrid,50009
747844148,20015,C-Max Hybrid,50009
756249318,20015,C-Max Hybrid,50009
756094352,20015,C-Max Hybrid,50009
745081915,20015,C-Max Hybrid,50009
756269419,20015,C-Max Hybrid,50009
742815337,20015,C-Max Hybrid,50009
754920793,20015,C-Max Hybrid,50009
756209715,20015,C-Max Hybrid,50009
756211255,20015,C-Max Hybrid,50009
756211017,20015,C-Max Hybrid,50009
752642464,20015,C-Max Hybrid,50009
754233736,20015,C-Max Hybrid,50009
755657527,20015,C-Max Hybrid,50009
755971626,20015,C-Max Hybrid,50009
756345040,20015,C-Max Hybrid,50009
746662415,20015,Probe,50009
752356434,20015,Ranger,50009
754052220,20015,Ranger,50009
752968365,20015,Ranger,50009
752259761,20015,Ranger,50009
755559113,20015,Ranger,50009
755627265,20015,Ranger,50009
755730541,20015,Ranger,50009
755670047,20015,Ranger,50009
755260752,20015,Ranger,50009
755106346,20015,Ranger,50009
755767059,20015,Ranger,50009
752913283,20015,Ranger,50009
755626560,20015,Ranger,50009
747220682,20015,Ranger,50009
